white,black
3.577460000000000000e+06,4.948940000000000000e+06
3.579475000000000000e+06,4.946925000000000000e+06
3.839999000000000000e+06,4.488997000000000000e+06
3.839977000000000000e+06,4.489019000000000000e+06
3.375061000000000000e+06,5.000175000000000000e+06
3.405139000000000000e+06,4.993265000000000000e+06
3.642691000000000000e+06,4.860365000000000000e+06
3.672124000000000000e+06,4.807620000000000000e+06
3.539202000000000000e+06,5.057422000000000000e+06
3.550174000000000000e+06,5.034726000000000000e+06
3.840000000000000000e+06,4.488996000000000000e+06
3.839994000000000000e+06,4.489002000000000000e+06
3.189178000000000000e+06,5.151366000000000000e+06
3.204680000000000000e+06,5.135864000000000000e+06
3.795989000000000000e+06,4.533007000000000000e+06
3.790561000000000000e+06,4.538435000000000000e+06
3.458642000000000000e+06,5.279294000000000000e+06
3.473914000000000000e+06,5.240390000000000000e+06
3.498742000000000000e+06,4.830254000000000000e+06
3.531237000000000000e+06,4.797759000000000000e+06
3.428312000000000000e+06,4.900684000000000000e+06
3.439371000000000000e+06,4.889625000000000000e+06
3.839987000000000000e+06,4.489009000000000000e+06
3.839976000000000000e+06,4.489020000000000000e+06
3.839766000000000000e+06,4.489230000000000000e+06
3.807146000000000000e+06,4.568090000000000000e+06
3.408235000000000000e+06,5.448341000000000000e+06
3.417923000000000000e+06,5.391101000000000000e+06
3.824372000000000000e+06,4.516172000000000000e+06
3.783654000000000000e+06,4.580010000000000000e+06
3.839925000000000000e+06,4.489071000000000000e+06
3.839986000000000000e+06,4.489010000000000000e+06
3.820030000000000000e+06,4.508966000000000000e+06
3.824698000000000000e+06,4.504298000000000000e+06
3.840000000000000000e+06,4.488996000000000000e+06
3.824351000000000000e+06,4.504645000000000000e+06
3.394338000000000000e+06,4.969326000000000000e+06
3.430877000000000000e+06,4.967527000000000000e+06
3.433823000000000000e+06,4.941413000000000000e+06
3.457763000000000000e+06,4.940641000000000000e+06
3.571511000000000000e+06,4.826893000000000000e+06
3.519006000000000000e+06,4.879398000000000000e+06
3.560066000000000000e+06,4.838338000000000000e+06
3.508308000000000000e+06,4.855356000000000000e+06
3.089022000000000000e+06,5.251522000000000000e+06
3.125752000000000000e+06,5.214792000000000000e+06
3.469752000000000000e+06,4.905484000000000000e+06
3.576697000000000000e+06,4.833303000000000000e+06
3.463228000000000000e+06,4.865768000000000000e+06
3.621261000000000000e+06,4.765555000000000000e+06
3.839997000000000000e+06,4.488999000000000000e+06
3.839969000000000000e+06,4.489027000000000000e+06
3.337270000000000000e+06,4.991726000000000000e+06
3.338914000000000000e+06,4.990082000000000000e+06
3.398663000000000000e+06,4.941881000000000000e+06
3.405241000000000000e+06,4.923755000000000000e+06
3.319632000000000000e+06,5.009364000000000000e+06
3.328296000000000000e+06,5.012248000000000000e+06
2.899276000000000000e+06,5.441268000000000000e+06
2.939904000000000000e+06,5.400640000000000000e+06
2.929186000000000000e+06,5.411358000000000000e+06
2.970198000000000000e+06,5.370346000000000000e+06
3.237430000000000000e+06,5.103114000000000000e+06
3.271581000000000000e+06,5.068963000000000000e+06
2.937985000000000000e+06,5.402559000000000000e+06
2.990158000000000000e+06,5.361942000000000000e+06
3.523572000000000000e+06,5.131792000000000000e+06
3.571701000000000000e+06,5.048395000000000000e+06
3.467467000000000000e+06,5.223237000000000000e+06
3.491683000000000000e+06,5.175453000000000000e+06
3.839927000000000000e+06,4.489069000000000000e+06
3.839947000000000000e+06,4.489049000000000000e+06
3.840000000000000000e+06,4.488996000000000000e+06
3.840000000000000000e+06,4.488996000000000000e+06
3.395413000000000000e+06,5.496911000000000000e+06
3.426123000000000000e+06,5.442361000000000000e+06
3.333399000000000000e+06,4.995597000000000000e+06
3.344271000000000000e+06,4.984725000000000000e+06
3.357210000000000000e+06,4.971786000000000000e+06
3.387973000000000000e+06,4.941023000000000000e+06
3.537089000000000000e+06,5.059535000000000000e+06
3.554128000000000000e+06,5.030772000000000000e+06
3.549535000000000000e+06,5.035365000000000000e+06
3.563861000000000000e+06,5.009323000000000000e+06
3.839988000000000000e+06,4.489008000000000000e+06
3.839964000000000000e+06,4.489032000000000000e+06
3.839977000000000000e+06,4.489019000000000000e+06
3.839912000000000000e+06,4.489084000000000000e+06
3.551246000000000000e+06,5.021938000000000000e+06
3.584114000000000000e+06,4.965662000000000000e+06
3.541054000000000000e+06,5.043846000000000000e+06
3.531938000000000000e+06,5.029538000000000000e+06
3.351049000000000000e+06,5.601015000000000000e+06
3.360859000000000000e+06,5.579241000000000000e+06
3.400318000000000000e+06,4.928678000000000000e+06
3.421307000000000000e+06,4.919237000000000000e+06
3.179826000000000000e+06,5.149170000000000000e+06
3.342862000000000000e+06,5.009238000000000000e+06
3.218758000000000000e+06,5.110238000000000000e+06
3.372938000000000000e+06,4.956058000000000000e+06
3.219077000000000000e+06,5.109919000000000000e+06
3.222329000000000000e+06,5.106667000000000000e+06
3.800323000000000000e+06,4.563341000000000000e+06
3.803078000000000000e+06,4.549022000000000000e+06
3.836368000000000000e+06,4.492628000000000000e+06
3.773644000000000000e+06,4.555352000000000000e+06
3.342647000000000000e+06,4.986349000000000000e+06
3.382384000000000000e+06,4.946612000000000000e+06
3.603984000000000000e+06,4.910740000000000000e+06
3.624135000000000000e+06,4.890589000000000000e+06
3.353700000000000000e+06,4.975296000000000000e+06
3.396372000000000000e+06,4.932624000000000000e+06
3.394143000000000000e+06,4.934853000000000000e+06
3.442221000000000000e+06,4.886775000000000000e+06
3.372514000000000000e+06,4.956482000000000000e+06
3.397599000000000000e+06,4.931397000000000000e+06
3.614254000000000000e+06,4.900470000000000000e+06
3.595213000000000000e+06,4.931187000000000000e+06
3.839988000000000000e+06,4.489008000000000000e+06
3.839746000000000000e+06,4.489250000000000000e+06
3.386342000000000000e+06,5.458334000000000000e+06
3.412087000000000000e+06,5.408813000000000000e+06
3.839973000000000000e+06,4.489023000000000000e+06
3.839983000000000000e+06,4.489013000000000000e+06
3.839961000000000000e+06,4.489035000000000000e+06
3.839987000000000000e+06,4.489009000000000000e+06
3.501486000000000000e+06,4.839058000000000000e+06
3.536116000000000000e+06,4.804428000000000000e+06
3.211878000000000000e+06,5.128666000000000000e+06
3.237730000000000000e+06,5.091266000000000000e+06
3.342004000000000000e+06,4.986992000000000000e+06
3.365675000000000000e+06,4.963321000000000000e+06
3.840000000000000000e+06,4.488996000000000000e+06
3.840000000000000000e+06,4.488996000000000000e+06
3.554322000000000000e+06,5.018862000000000000e+06
3.574977000000000000e+06,4.998207000000000000e+06
3.095575000000000000e+06,5.244969000000000000e+06
3.096939000000000000e+06,5.243605000000000000e+06
3.693410000000000000e+06,4.763054000000000000e+06
3.704683000000000000e+06,4.751781000000000000e+06
3.209582000000000000e+06,5.119414000000000000e+06
3.233839000000000000e+06,5.095157000000000000e+06
3.085270000000000000e+06,5.255274000000000000e+06
3.120470000000000000e+06,5.220074000000000000e+06
3.519812000000000000e+06,5.053372000000000000e+06
3.524554000000000000e+06,5.013530000000000000e+06
3.604004000000000000e+06,4.910720000000000000e+06
3.615532000000000000e+06,4.899192000000000000e+06
3.115365000000000000e+06,5.225179000000000000e+06
3.092571000000000000e+06,5.247973000000000000e+06
3.138807000000000000e+06,5.190189000000000000e+06
3.122144000000000000e+06,5.218400000000000000e+06
3.103229000000000000e+06,5.237315000000000000e+06
3.138090000000000000e+06,5.202454000000000000e+06
3.737747000000000000e+06,4.707089000000000000e+06
3.687064000000000000e+06,4.757772000000000000e+06
3.488520000000000000e+06,4.852024000000000000e+06
3.562234000000000000e+06,4.778310000000000000e+06
3.839141000000000000e+06,4.489855000000000000e+06
3.838611000000000000e+06,4.490385000000000000e+06
3.463787000000000000e+06,4.865209000000000000e+06
3.505433000000000000e+06,4.823563000000000000e+06
3.604236000000000000e+06,4.910488000000000000e+06
3.614072000000000000e+06,4.888984000000000000e+06
3.520674000000000000e+06,5.122926000000000000e+06
3.535200000000000000e+06,5.096644000000000000e+06
3.138089000000000000e+06,5.202455000000000000e+06
3.169351000000000000e+06,5.159645000000000000e+06
3.839992000000000000e+06,4.489004000000000000e+06
3.839968000000000000e+06,4.489028000000000000e+06
3.838276000000000000e+06,4.490720000000000000e+06
3.835936000000000000e+06,4.493060000000000000e+06
3.277839000000000000e+06,5.074261000000000000e+06
3.369966000000000000e+06,4.993698000000000000e+06
3.532867000000000000e+06,5.098977000000000000e+06
3.571113000000000000e+06,5.025511000000000000e+06
3.293760000000000000e+06,5.035236000000000000e+06
3.362469000000000000e+06,4.966527000000000000e+06
3.418879000000000000e+06,4.910117000000000000e+06
3.442667000000000000e+06,4.886329000000000000e+06
3.724913000000000000e+06,4.766483000000000000e+06
3.699278000000000000e+06,4.733938000000000000e+06
3.363853000000000000e+06,4.965143000000000000e+06
3.369381000000000000e+06,4.959615000000000000e+06
3.839995000000000000e+06,4.489001000000000000e+06
3.839967000000000000e+06,4.489029000000000000e+06
3.587947000000000000e+06,4.798869000000000000e+06
3.611852000000000000e+06,4.740248000000000000e+06
3.334337000000000000e+06,4.994659000000000000e+06
3.353956000000000000e+06,4.975040000000000000e+06
3.374170000000000000e+06,4.954826000000000000e+06
3.402713000000000000e+06,4.926283000000000000e+06
3.839999000000000000e+06,4.488997000000000000e+06
3.839999000000000000e+06,4.488997000000000000e+06
3.638060000000000000e+06,4.818404000000000000e+06
3.655735000000000000e+06,4.800729000000000000e+06
3.720773000000000000e+06,4.724063000000000000e+06
3.677078000000000000e+06,4.802666000000000000e+06
3.839973000000000000e+06,4.489023000000000000e+06
3.839990000000000000e+06,4.489006000000000000e+06
3.742702000000000000e+06,4.655702000000000000e+06
3.739271000000000000e+06,4.647545000000000000e+06
3.588591000000000000e+06,4.926133000000000000e+06
3.621152000000000000e+06,4.858592000000000000e+06
3.583109000000000000e+06,4.931615000000000000e+06
3.600072000000000000e+06,4.902984000000000000e+06
3.465739000000000000e+06,5.213177000000000000e+06
3.512239000000000000e+06,5.119605000000000000e+06
3.717839000000000000e+06,4.738625000000000000e+06
3.691568000000000000e+06,4.788176000000000000e+06
3.536196000000000000e+06,5.060428000000000000e+06
3.540712000000000000e+06,5.055912000000000000e+06
3.231891000000000000e+06,5.247853000000000000e+06
3.317909000000000000e+06,5.161835000000000000e+06
3.301129000000000000e+06,5.722887000000000000e+06
3.324274000000000000e+06,5.675726000000000000e+06
3.342735000000000000e+06,4.986261000000000000e+06
