white,black
5.291930000000000000e+05,1.140071000000000000e+06
5.337450000000000000e+05,1.140691000000000000e+06
5.251860000000000000e+05,1.113214000000000000e+06
5.398360000000000000e+05,1.129428000000000000e+06
5.368150000000000000e+05,1.142801000000000000e+06
5.364770000000000000e+05,1.137959000000000000e+06
6.690940000000000000e+05,1.445022000000000000e+06
6.718340000000000000e+05,1.465610000000000000e+06
6.360640000000000000e+05,1.357680000000000000e+06
6.463730000000000000e+05,1.381403000000000000e+06
7.840430000000000000e+05,1.731353000000000000e+06
7.945610000000000000e+05,1.720835000000000000e+06
6.628480000000000000e+05,1.468752000000000000e+06
6.473360000000000000e+05,1.460968000000000000e+06
9.600540000000000000e+05,2.165770000000000000e+06
9.664010000000000000e+05,2.124163000000000000e+06
8.097560000000000000e+05,1.906148000000000000e+06
7.968560000000000000e+05,1.892744000000000000e+06
4.194990000000000000e+05,8.619250000000000000e+05
4.159210000000000000e+05,8.474550000000000000e+05
4.168830000000000000e+05,8.600170000000000000e+05
4.156810000000000000e+05,8.657430000000000000e+05
5.170440000000000000e+05,1.095856000000000000e+06
5.175310000000000000e+05,1.090293000000000000e+06
7.601160000000000000e+05,1.630000000000000000e+06
7.567720000000000000e+05,1.627164000000000000e+06
9.698280000000000000e+05,2.127772000000000000e+06
9.707440000000000000e+05,2.155080000000000000e+06
4.233660000000000000e+05,8.762340000000000000e+05
4.217100000000000000e+05,8.642460000000000000e+05
6.426480000000000000e+05,1.430952000000000000e+06
6.289960000000000000e+05,1.393088000000000000e+06
6.445780000000000000e+05,1.452126000000000000e+06
6.274850000000000000e+05,1.388915000000000000e+06
6.289000000000000000e+05,1.404576000000000000e+06
6.313120000000000000e+05,1.396464000000000000e+06
5.192070000000000000e+05,1.083549000000000000e+06
5.103900000000000000e+05,1.067146000000000000e+06
5.147870000000000000e+05,1.087969000000000000e+06
5.133060000000000000e+05,1.074294000000000000e+06
4.276650000000000000e+05,8.902390000000000000e+05
4.246840000000000000e+05,8.703600000000000000e+05
4.288120000000000000e+05,8.890920000000000000e+05
4.262450000000000000e+05,8.824910000000000000e+05
7.574990000000000000e+05,1.663637000000000000e+06
7.575700000000000000e+05,1.669794000000000000e+06
7.539650000000000000e+05,1.642339000000000000e+06
7.700470000000000000e+05,1.657317000000000000e+06
7.526800000000000000e+05,1.631256000000000000e+06
7.702740000000000000e+05,1.638430000000000000e+06
9.604070000000000000e+05,2.116109000000000000e+06
