white,black
1.971850000000000000e+05,5.885100000000000000e+04
1.508310000000000000e+05,4.630500000000000000e+04
1.507440000000000000e+05,4.639200000000000000e+04
1.507660000000000000e+05,4.993800000000000000e+04
1.501860000000000000e+05,4.517800000000000000e+04
1.493630000000000000e+05,4.423700000000000000e+04
1.486750000000000000e+05,4.492500000000000000e+04
1.969930000000000000e+05,6.107100000000000000e+04
1.959930000000000000e+05,5.802300000000000000e+04
1.517810000000000000e+05,4.535500000000000000e+04
1.510930000000000000e+05,4.427100000000000000e+04
1.518340000000000000e+05,4.530200000000000000e+04
1.512670000000000000e+05,4.586900000000000000e+04
4.569940000000000000e+05,1.359060000000000000e+05
4.560800000000000000e+05,1.337440000000000000e+05
5.527010000000000000e+05,1.630150000000000000e+05
5.474580000000000000e+05,1.581420000000000000e+05
2.001460000000000000e+05,5.995400000000000000e+04
2.013470000000000000e+05,5.875300000000000000e+04
3.223290000000000000e+05,1.027750000000000000e+05
3.220180000000000000e+05,9.788600000000000000e+04
3.173080000000000000e+05,9.229200000000000000e+04
3.181950000000000000e+05,9.396900000000000000e+04
3.815280000000000000e+05,1.112760000000000000e+05
3.821290000000000000e+05,1.134870000000000000e+05
2.569730000000000000e+05,7.942700000000000000e+04
2.592040000000000000e+05,7.719600000000000000e+04
3.783380000000000000e+05,1.116620000000000000e+05
3.799820000000000000e+05,1.128220000000000000e+05
2.532260000000000000e+05,1.213180000000000000e+05
2.519340000000000000e+05,1.250620000000000000e+05
2.594220000000000000e+05,7.930200000000000000e+04
2.581280000000000000e+05,7.595600000000000000e+04
4.460980000000000000e+05,1.284660000000000000e+05
4.467930000000000000e+05,1.430310000000000000e+05
1.991570000000000000e+05,5.890700000000000000e+04
1.995010000000000000e+05,5.856300000000000000e+04
1.569800000000000000e+05,4.552000000000000000e+04
1.584080000000000000e+05,4.770800000000000000e+04
3.157190000000000000e+05,9.388100000000000000e+04
3.138880000000000000e+05,9.315600000000000000e+04
4.153540000000000000e+05,1.234020000000000000e+05
4.175350000000000000e+05,1.241610000000000000e+05
6.243700000000000000e+05,1.892340000000000000e+05
6.265630000000000000e+05,1.834370000000000000e+05
3.095460000000000000e+05,8.987800000000000000e+04
3.093510000000000000e+05,9.260500000000000000e+04
3.153500000000000000e+05,9.425000000000000000e+04
3.162400000000000000e+05,9.336000000000000000e+04
3.253460000000000000e+05,9.975800000000000000e+04
3.258840000000000000e+05,9.922000000000000000e+04
2.114530000000000000e+05,6.522300000000000000e+04
2.126820000000000000e+05,6.189400000000000000e+04
2.046830000000000000e+05,5.951300000000000000e+04
